,id,kind,Name,Source,MetadataVersion,AttributeMap.FieldName,AttributeMap.AttributeType,AttributeMap.Coverage,AttributeMap.DifferenceType,AttributeMap.MapType,AttributeMap.Name,AttributeMap.SeismicDifference,AttributeMap.SeismicTraceContent,CalculationWindow.WindowMode,CalculationWindow.TopHorizonName,CalculationWindow.BaseHorizonName,CalculationWindow.TopHorizonOffset,CalculationWindow.BaseHorizonOffset,CalculationWindow.HorizonName,CalculationWindow.HorizonOffsetShallow,CalculationWindow.HorizonOffsetDeep,SeismicProcessingTraces.SeismicVolumeA,SeismicProcessingTraces.SeismicVolumeB,IrapBinaryID
67,npequinor-dev:work-product-component--GenericRepresentation:2d878c2b3ce1469a8e1d04757ecdaa7f,osdu:wks:work-product-component--GenericRepresentation:1.1.0,IB-TEST-AMP-DIFF-MaxNeg-OSDU-Input-Horizon,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Full,Difference,4D,IB-TEST-AMP-DIFF-MaxNeg-OSDU-Input-Horizon,RawDifference,Amplitude,BetweenHorizons,IB-TEST-1600ms,IB-TEST-1700ms,0.0,0.0,,,,AUTO4D_TEST_MINICUBE_2,AUTO4D_TEST_MINICUBE_1,npequinor-dev:dataset--File.Generic:1b07e4b5-f466-4cad-8a25-0c49b73cb942
68,npequinor-dev:work-product-component--GenericRepresentation:d7bda2f7233f4e298e119424f11902d3,osdu:wks:work-product-component--GenericRepresentation:1.1.0,IB-TEST-AMP-DIFF-MaxPos-OSDU-Input-Horizon,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Full,Difference,4D,IB-TEST-AMP-DIFF-MaxPos-OSDU-Input-Horizon,RawDifference,Amplitude,BetweenHorizons,IB-TEST-1600ms,IB-TEST-1700ms,0.0,0.0,,,,AUTO4D_TEST_MINICUBE_2,AUTO4D_TEST_MINICUBE_1,npequinor-dev:dataset--File.Generic:5ca2dd41-f23c-4749-93f4-cfe3195e0eff
69,npequinor-dev:work-product-component--GenericRepresentation:5f132703a39f4034891408c285629a41,osdu:wks:work-product-component--GenericRepresentation:1.1.0,IB-TEST-AMP-DIFF-MaxNeg,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Full,Difference,4D,IB-TEST-AMP-DIFF-MaxNeg,RawDifference,Amplitude,BetweenHorizons,1600ms,1700ms,0.0,0.0,,,,AUTO4D_TEST_MINICUBE_2,AUTO4D_TEST_MINICUBE_1,npequinor-dev:dataset--File.Generic:57dcf972-5b28-4f61-97b7-8730b686f22a
70,npequinor-dev:work-product-component--GenericRepresentation:2f5d8b00efbd4f7fa34050c4613ebd70,osdu:wks:work-product-component--GenericRepresentation:1.1.0,IB-TEST-AMP-DIFF-MaxPos,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Full,Difference,4D,IB-TEST-AMP-DIFF-MaxPos,RawDifference,Amplitude,BetweenHorizons,1600ms,1700ms,0.0,0.0,,,,AUTO4D_TEST_MINICUBE_2,AUTO4D_TEST_MINICUBE_1,npequinor-dev:dataset--File.Generic:ac1ab517-aed6-4aaa-9b54-e9fc8af02d04
71,npequinor-dev:work-product-component--GenericRepresentation:c6d038802af74c04966655dc44bb7d9a,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_Diff_0535M_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Masked,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_Diff_0535M_maxp,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:899014d4-cb98-4c40-93ae-84b3fc83b4c7
72,npequinor-dev:work-product-component--GenericRepresentation:3cceef09b6ac46a296653790cc68e3d4,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-22sp_DiffTS_0535_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Full,AttributeOfDifference,4D,4D_JS_FulRes_23sp-22sp_DiffTS_0535_maxn,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:52174950-cf68-40c1-8933-c6e01731f1c0
73,npequinor-dev:work-product-component--GenericRepresentation:7c75dc37d3e046c7b0866dd02f54936a,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_21sp-19auM_Quadr_0535_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Masked,AttributeOfDifference,4D,4D_JS_FulRes_21sp-19auM_Quadr_0535_maxn,TimeshiftedDifference,Quadrature,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ19231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:7f279072-ecc4-4132-8209-b4441a824461
74,npequinor-dev:work-product-component--GenericRepresentation:b23da9d04eaf4c7d8195fee2f1ab40eb,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_21sp-19auM_dTS_0535_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Masked,AttributeOfDifference,4D,4D_JS_FulRes_21sp-19auM_dTS_0535_maxn,Extracted,Timestrain,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ19231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:877c698e-00d5-4294-b936-ee0d9ac9dc64
75,npequinor-dev:work-product-component--GenericRepresentation:cf676c791a8945eaabd4ac1fd38b7ed7,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-21sp_Diff_0535_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Full,AttributeOfDifference,4D,4D_JS_FulRes_23sp-21sp_Diff_0535_maxn,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:4a16d1a6-e109-4fe6-a11d-d36a47744460
76,npequinor-dev:work-product-component--GenericRepresentation:2edc71595bed4005843fb7ecc7ad5747,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-20au_TS_0535_IUTU-10ms,Auto4D,0.3.2,JOHAN SVERDRUP,value,Full,AttributeOfDifference,4D,4D_JS_FulRes_23sp-20au_TS_0535_IUTU-10ms,Extracted,Timeshift,AroundHorizon,,,,,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,10.0,,EQ23200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:38822754-78ae-4e1f-a401-f80112935974
77,npequinor-dev:work-product-component--GenericRepresentation:7963f3edb4a84f27b2b0bccc7f592905,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_DiffTS_0535M_rms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Masked,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_DiffTS_0535M_rms,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:a5d35bdd-84f4-462c-bcaa-c5d3d35612d4
78,npequinor-dev:work-product-component--GenericRepresentation:1519fb750dbe4a5daf2c0329655fea93,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-21sp_Diff_0535_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Full,AttributeOfDifference,4D,4D_JS_FulRes_23sp-21sp_Diff_0535_maxp,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:f804072a-1b25-45f6-b682-747719cab51b
79,npequinor-dev:work-product-component--GenericRepresentation:882eff96b74143b599cdfbde8f0957ce,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_21sp-19auM_Diff_0535_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Masked,AttributeOfDifference,4D,4D_JS_FulRes_21sp-19auM_Diff_0535_maxp,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ19231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:62b6dc00-42ca-407f-91e5-8556dc106ace
80,npequinor-dev:work-product-component--GenericRepresentation:75ec86a54edd4800b37fb4ed3bd35018,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_Diff_0535M_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Masked,AttributeOfDifference,4D,4D_JS_FulRes_21sp-19auM_Diff_0535_maxp,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ19231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:cc6f5d65-e7f7-4c06-b9e8-925b0f50da15
81,npequinor-dev:work-product-component--GenericRepresentation:58fbb597007f4458bba7045366ae6ece,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_20au-19auM_DiffTS_0535_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Masked,AttributeOfDifference,4D,4D_JS_FulRes_20au-19auM_DiffTS_0535_maxn,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ19231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:673aeebf-82b0-4e92-8136-18b9b6a62c73
82,npequinor-dev:work-product-component--GenericRepresentation:71867f9c56364b9c9c6a9cd7f233bfe0,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_22sp-21sp_Diff_0535_rms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Full,AttributeOfDifference,4D,4D_JS_FulRes_22sp-21sp_Diff_0535_rms,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:f51be5d4-0a0d-44f6-9312-77a79d3e90a4
83,npequinor-dev:work-product-component--GenericRepresentation:998497bcfde14df68cf9645bfca77294,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-22sp_DiffTS_0535_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Full,AttributeOfDifference,4D,4D_JS_FulRes_23sp-22sp_DiffTS_0535_maxp,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:5dbf05d8-467a-455e-9c02-8bf46383de79
84,npequinor-dev:work-product-component--GenericRepresentation:4040cc4a5c3a47849c700f1b535d0d7d,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_20au-19auM_Diff_0535_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Masked,AttributeOfDifference,4D,4D_JS_FulRes_20au-19auM_Quadr_0535_maxp,TimeshiftedDifference,Quadrature,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ19231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:92a3137d-6dc2-4ba5-8b20-a4f12ea6dcd1
85,npequinor-dev:work-product-component--GenericRepresentation:c728ad43ba4142578c18fa277dbdc5c8,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_21sp-19auM_DiffTS_0535_rms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Masked,AttributeOfDifference,4D,4D_JS_FulRes_21sp-19auM_DiffTS_0535_rms,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ19231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:0aa00b98-769d-4c6e-81ad-a3d0e461fd4e
86,npequinor-dev:work-product-component--GenericRepresentation:51aa147fe97b4cf88162c1fc75fb0f7c,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-22sp_DiffTS_0535_rms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Full,AttributeOfDifference,4D,4D_JS_FulRes_23sp-22sp_DiffTS_0535_rms,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:4255a90c-2a87-4a9e-935b-bf6b6628bd0d
87,npequinor-dev:work-product-component--GenericRepresentation:9776db7fafcf42709cd705dba5959220,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_20au-19auM_Quadr_0535_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Full,AttributeOfDifference,4D,4D_JS_FulRes_22sp-20aut_Diff_0535_maxn,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:7ecff47c-12ba-4b7c-9010-587c7c63f409
88,npequinor-dev:work-product-component--GenericRepresentation:f4bb8e920bd94d72a551f12fc24af501,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_22sp-20aut_Diff_0535_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Full,AttributeOfDifference,4D,4D_JS_FulRes_22sp-20aut_Diff_0535_maxn,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:acad6208-fb1a-405f-a6d1-46c203a5289c
89,npequinor-dev:work-product-component--GenericRepresentation:a3e8cffac58643619b3a4065e25937e1,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_dTS_0535M_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Full,AttributeOfDifference,4D,4D_JS_FulRes_22sp-20aut_Diff_0535_maxn,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:5ac8ccab-8f3f-4bb2-b10c-1c0516160f46
90,npequinor-dev:work-product-component--GenericRepresentation:97585e191a3244bdbcd5df9338c09bf2,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_Diff_0535P_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Full,AttributeOfDifference,4D,4D_JS_FulRes_22sp-20aut_Diff_0535_maxn,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:e9dd8aae-302d-459c-9488-461a8d78db81
91,npequinor-dev:work-product-component--GenericRepresentation:0b255f0fc59847e7b7b39bacfc5c2c85,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_22sp-21sp_DiffTS_0535_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Full,AttributeOfDifference,4D,4D_JS_FulRes_22sp-21sp_DiffTS_0535_maxp,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:f50b0228-7891-44cf-b451-f9dcb1a33f14
92,npequinor-dev:work-product-component--GenericRepresentation:75b7b7c3856043989b440ea3ec9521f5,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-20aut_DiffTS_0535_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Full,AttributeOfDifference,4D,4D_JS_FulRes_23sp-20aut_DiffTS_0535_maxp,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:6c54bf9e-d65a-4968-aa3d-334936c9facf
93,npequinor-dev:work-product-component--GenericRepresentation:1937a3e790d54d0cb078656866769282,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_DiffTS_0535M_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Masked,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_DiffTS_0535M_maxp,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:466b6625-8b35-4d29-aa4d-f928d87c691f
94,npequinor-dev:work-product-component--GenericRepresentation:f78dbef7e96e4e00977ea288dc3bd02f,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_DiffTS_0535P_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Padded,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_DiffTS_0535P_maxp,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:fa9a0db3-559a-4749-bd97-4319cacba518
95,npequinor-dev:work-product-component--GenericRepresentation:1610ec47d8e84a8299d4d25a4dfc6a67,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_20au-19auM_Diff_0535_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Padded,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_DiffTS_0535P_maxp,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:cf2f9990-94bf-42b0-96ba-55d712edc4e2
96,npequinor-dev:work-product-component--GenericRepresentation:1ffef3aca75f4d729aa5aba2c80de44f,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_22sp-20aut_DiffTS_0535_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Padded,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_DiffTS_0535P_maxp,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:acdfc2ba-9d54-4414-805a-4ae9ceab3fb9
97,npequinor-dev:work-product-component--GenericRepresentation:bece530241e048618d86382e15203aea,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-22sp_Diff_0535_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Full,AttributeOfDifference,4D,4D_JS_FulRes_22sp-20aut_Diff_0535_maxn,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:a9018828-ac85-42c8-bb41-482ddd8a39c9
98,npequinor-dev:work-product-component--GenericRepresentation:78b8a4604baa41a5bd7b6ad6f76ab69c,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_22sp-21sp_Diff_0535_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Full,AttributeOfDifference,4D,4D_JS_FulRes_22sp-20aut_Diff_0535_maxn,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:7457c013-bafc-41cf-9778-eb65c51284a0
99,npequinor-dev:work-product-component--GenericRepresentation:1c237e9d42d84248b998d8b94fb3fd9a,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-20aut_DiffTS_0535_rms,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Full,AttributeOfDifference,4D,4D_JS_FulRes_22sp-20aut_Diff_0535_maxn,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:05f79ec9-9a2f-4800-82ec-3a509d108e0a
100,npequinor-dev:work-product-component--GenericRepresentation:8a2dae52c9b7419db77d59c27e5328c8,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_21sp-19auM_TS_0535_IUTU-10,Auto4D,0.3.2,JOHAN SVERDRUP,value,Masked,AttributeOfDifference,4D,4D_JS_FulRes_21sp-19auM_TS_0535_IUTU-10,Extracted,Timeshift,AroundHorizon,,,,,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,10.0,,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ19231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:e990f558-7392-459e-bb26-ac9a2fc8b87d
101,npequinor-dev:work-product-component--GenericRepresentation:be3e9f0c5e9a473d8d7e0c1c4a9dae96,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_TS_0535M_IUTU-10,Auto4D,0.3.2,JOHAN SVERDRUP,value,Masked,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_TS_0535M_IUTU-10,Extracted,Timeshift,AroundHorizon,,,,,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,10.0,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:9d9aaa4d-9e2d-45a8-ac0c-1ffca469067e
